name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
hard_gfish,2,256,8,32,4096,216.304172544,88262106,19453440
hard_gfish,2,256,8,32,8192,644.618755328,88262106,19453440
hard_gfish,2,512,8,64,128,8.103590784,181465050,44115456
hard_gfish,2,512,8,64,256,16.175060608,181465050,44115456
hard_gfish,2,512,8,64,512,32.960932736,181465050,44115456
hard_gfish,2,512,8,64,1024,71.273953792,181465050,44115456
hard_gfish,2,512,8,64,2048,168.115984384,181465050,44115456
hard_gfish,2,512,8,64,4096,432.616345088,181465050,44115456
hard_gfish,2,512,8,64,8192,1246.287837696,181465050,44115456
hard_gfish,2,1024,8,128,128,18.870492608,383599578,109168128
hard_gfish,2,1024,8,128,256,37.634704256,383599578,109168128
hard_gfish,2,1024,8,128,512,76.324379392,383599578,109168128
hard_gfish,2,1024,8,128,1024,162.673366784,383599578,109168128
hard_gfish,2,1024,8,128,2048,373.804932608,383599578,109168128
hard_gfish,2,1024,8,128,4096,929.657199616,383599578,109168128
hard_gfish,2,1024,8,128,8192,2578.155021312,383599578,109168128
hard_gfish,2,2048,8,256,128,48.457527936,850783194,302188032
hard_gfish,2,2048,8,256,256,96.660438912,850783194,302188032
hard_gfish,2,2048,8,256,512,195.264487424,850783194,302188032
hard_gfish,2,2048,8,256,1024,409.913502208,850783194,302188032
hard_gfish,2,2048,8,256,2048,914.047847936,850783194,302188032
hard_gfish,2,2048,8,256,4096,2181.436946432,850783194,302188032
hard_gfish,2,2048,8,256,8192,5758.405464064,850783194,302188032
hard_gfish,2,4096,8,512,128,139.843517312,2036808666,939886080
hard_gfish,2,4096,8,512,256,279.136977664,2036808666,939886080
hard_gfish,2,4096,8,512,512,561.984922368,2036808666,939886080
hard_gfish,2,4096,8,512,1024,1162.074210816,2036808666,939886080
hard_gfish,2,4096,8,512,2048,2509.921754112,2036808666,939886080
hard_gfish,2,4096,8,512,4096,5715.468591104,2036808666,939886080
hard_gfish,2,4096,8,512,8192,14179.370651648,2036808666,939886080
gfish,2,256,8,32,128,3.726728832,88262122,19453456
gfish,2,256,8,32,256,7.458336704,88262122,19453456
gfish,2,256,8,32,512,15.306021248,88262122,19453456
gfish,2,256,8,32,1024,33.622910976,88262122,19453456
gfish,2,256,8,32,2048,81.368837632,88262122,19453456
gfish,2,256,8,32,4096,216.304172544,88262122,19453456
gfish,2,256,8,32,8192,644.618755328,88262122,19453456
gfish,2,512,8,64,128,8.103590784,181465066,44115472
gfish,2,512,8,64,256,16.175060608,181465066,44115472
gfish,2,512,8,64,512,32.960932736,181465066,44115472
gfish,2,512,8,64,1024,71.273953792,181465066,44115472
gfish,2,512,8,64,2048,168.115984384,181465066,44115472
gfish,2,512,8,64,4096,432.616345088,181465066,44115472
gfish,2,512,8,64,8192,1246.287837696,181465066,44115472
gfish,2,1024,8,128,128,18.870492608,383599594,109168144
gfish,2,1024,8,128,256,37.634704256,383599594,109168144
gfish,2,1024,8,128,512,76.324379392,383599594,109168144
gfish,2,1024,8,128,1024,162.673366784,383599594,109168144
gfish,2,1024,8,128,2048,373.804932608,383599594,109168144
gfish,2,1024,8,128,4096,929.657199616,383599594,109168144
gfish,2,1024,8,128,8192,2578.155021312,383599594,109168144
gfish,2,2048,8,256,128,48.457527936,850783210,302188048
gfish,2,2048,8,256,256,96.660438912,850783210,302188048
gfish,2,2048,8,256,512,195.264487424,850783210,302188048
gfish,2,2048,8,256,1024,409.913502208,850783210,302188048
gfish,2,2048,8,256,2048,914.047847936,850783210,302188048
gfish,2,2048,8,256,4096,2181.436946432,850783210,302188048
gfish,2,2048,8,256,8192,5758.405464064,850783210,302188048
gfish,2,4096,8,512,128,139.843517312,2036808682,939886096
gfish,2,4096,8,512,256,279.136977664,2036808682,939886096
gfish,2,4096,8,512,512,561.984922368,2036808682,939886096
gfish,2,4096,8,512,1024,1162.074210816,2036808682,939886096
gfish,2,4096,8,512,2048,2509.921754112,2036808682,939886096
gfish,2,4096,8,512,4096,5715.468591104,2036808682,939886096
gfish,2,4096,8,512,8192,14179.370651648,2036808682,939886096

fish,2,256,8,32,128,3.709951616,88260842,19452176
fish,2,256,8,32,256,7.39122784,88260842,19452176
fish,2,256,8,32,512,15.037585792,88260842,19452176
fish,2,256,8,32,1024,32.549169152,88260842,19452176
fish,2,256,8,32,2048,77.073870336,88260842,19452176
fish,2,256,8,32,4096,199.12430336,88260842,19452176
fish,2,256,8,32,8192,575.899278592,88260842,19452176
fish,2,512,8,64,128,8.086813568,181463786,44114192
fish,2,512,8,64,256,16.107951744,181463786,44114192
fish,2,512,8,64,512,32.69249728,181463786,44114192
fish,2,512,8,64,1024,70.200211968,181463786,44114192
fish,2,512,8,64,2048,163.821017088,181463786,44114192
fish,2,512,8,64,4096,415.436475904,181463786,44114192
fish,2,512,8,64,8192,1177.56836096,181463786,44114192
fish,2,1024,8,128,128,18.853715392,383598314,109166864
fish,2,1024,8,128,256,37.567595392,383598314,109166864
fish,2,1024,8,128,512,76.055943936,383598314,109166864
fish,2,1024,8,128,1024,161.59962496,383598314,109166864
fish,2,1024,8,128,2048,369.509965312,383598314,109166864
fish,2,1024,8,128,4096,912.477330432,383598314,109166864
fish,2,1024,8,128,8192,2509.435544576,383598314,109166864
fish,2,2048,8,256,128,48.44075072,850781930,302186768
fish,2,2048,8,256,256,96.593330048,850781930,302186768
fish,2,2048,8,256,512,194.996051968,850781930,302186768
fish,2,2048,8,256,1024,408.839760384,850781930,302186768
fish,2,2048,8,256,2048,909.75288064,850781930,302186768
fish,2,2048,8,256,4096,2164.257077248,850781930,302186768
fish,2,2048,8,256,8192,5689.685987328,850781930,302186768
fish,2,4096,8,512,128,139.826740096,2036807402,939884816
fish,2,4096,8,512,256,279.0698688,2036807402,939884816
fish,2,4096,8,512,512,561.716486912,2036807402,939884816
fish,2,4096,8,512,1024,1161.000468992,2036807402,939884816
fish,2,4096,8,512,2048,2505.626786816,2036807402,939884816
fish,2,4096,8,512,4096,5698.28872192,2036807402,939884816
fish,2,4096,8,512,8192,14110.651174912,2036807402,939884816
gfish,4,256,8,32,128,3.814808,88786666,19978000
