,name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params,test_flops,train_flops
123,hard_fish,2,2048,8,256,2048,909.75288064,850781914,302186752,909.75288064,2722.68509335584
124,hard_fish,2,2048,8,256,4096,2164.257077248,850781914,302186752,2164.257077248,6472.64247310324
125,hard_fish,2,2048,8,256,8192,5689.685987328,850781914,302186752,5689.685987328,17109.15206844868
126,hard_fish,2,4096,8,512,128,139.826740096,2036807386,939884800,139.826740096,419.1584361789652
127,hard_fish,2,4096,8,512,256,279.0698688,2036807386,939884800,279.0698688,838.1490179565885
128,hard_fish,2,4096,8,512,512,561.716486912,2036807386,939884800,561.716486912,1689.7016739159608
129,hard_fish,2,4096,8,512,1024,1161.000468992,2036807386,939884800,1161.000468992,3487.463740819631
130,hard_fish,2,4096,8,512,2048,2505.626786816,2036807386,939884800,2505.626786816,7538.033998101291
131,hard_fish,2,4096,8,512,4096,5698.28872192,2036807386,939884800,5698.28872192,17140.86499009477
132,hard_fish,2,4096,8,512,8192,14110.651174912,2036807386,939884800,14110.651174912,42316.10641921894
133,hard_gfish,4,4096,8,512,128,157.2960608,2171026650,1074104064,157.2960608,470.2934341631858
134,hard_gfish,4,4096,8,512,256,314.587093248,2171026650,1074104064,314.587093248,944.4808423550604
135,hard_gfish,4,4096,8,512,512,635.068307968,2171026650,1074104064,635.068307968,1901.1863145839552
136,hard_gfish,4,4096,8,512,1024,1316.965599744,2171026650,1074104064,1316.965599744,3939.026232634554
137,hard_gfish,4,4096,8,512,2048,2854.59340288,2171026650,1074104064,2854.59340288,8545.345790717141
138,hard_gfish,4,4096,8,512,4096,6544.399372288,2171026650,1074104064,6544.399372288,19686.228633873787
139,hard_gfish,4,4096,8,512,8192,16396.062148608,2171026650,1074104064,16396.062148608,49049.33663145304
140,hard_gfish,2,256,8,32,128,3.726728832,88262106,19453440,3.726728832,11.194515104172664
141,hard_gfish,2,256,8,32,256,7.458336704,88262106,19453440,7.458336704,22.432281864438217
142,hard_gfish,2,256,8,32,512,15.306021248,88262106,19453440,15.306021248,45.931098467140515
143,hard_gfish,2,256,8,32,1024,33.622910976,88262106,19453440,33.622910976,101.21669546454982
144,hard_gfish,2,256,8,32,2048,81.368837632,88262106,19453440,81.368837632,244.20438276152132
145,hard_gfish,2,256,8,32,4096,216.304172544,88262106,19453440,216.304172544,648.3685796756357
146,hard_gfish,2,256,8,32,8192,644.618755328,88262106,19453440,644.618755328,1938.7479529705836
