name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,test_time,test_memory,train_time,train_memory
hard_fish,8,256,8,32,128,0,0,0.05611443519592285,1336907264
hard_fish,8,256,8,32,256,0,0,0.053940534591674805,1509049344
hard_fish,8,256,8,32,512,0,0,0.07581973075866699,1992667648
hard_fish,8,256,8,32,1024,0,0,0.09845757484436035,3567690752
hard_fish,8,256,8,32,2048,0,0,0.08593344688415527,9163431936
hard_fish,8,256,8,32,4096,0,0,0.6201472282409668,30004368896
hard_fish,8,512,8,64,128,0,0,0.06446218490600586,1767585792
hard_fish,8,512,8,64,256,0,0,0.06379890441894531,1956244992
hard_fish,8,512,8,64,512,0,0,0.08585333824157715,2476944384
hard_fish,8,512,8,64,1024,0,0,0.09045171737670898,4123062784
hard_fish,8,512,8,64,2048,0,0,0.10515618324279785,9863097344
hard_fish,8,512,8,64,4096,0,0,0.6362481117248535,30993042432
hard_fish,8,1024,8,128,128,0,0,0.07192325592041016,2727791616
hard_fish,8,1024,8,128,256,0,0,0.0788416862487793,2953540096
hard_fish,8,1024,8,128,512,0,0,0.12074112892150879,3545323520
hard_fish,8,1024,8,128,1024,0,0,0.08904600143432617,5336904192
hard_fish,8,1024,8,128,2048,0,0,0.13482046127319336,11366772736
hard_fish,8,1024,8,128,4096,0,0,0.6961030960083008,33073150976
hard_fish,8,2048,8,256,128,0,0,0.09622764587402344,5052813824
hard_fish,8,2048,8,256,256,0,0,0.07055044174194336,5350640128
hard_fish,8,2048,8,256,512,0,0,0.0808253288269043,6087669760
hard_fish,8,2048,8,256,1024,0,0,0.09935212135314941,8166709760
hard_fish,8,2048,8,256,2048,0,0,0.11757063865661621,14772625408
hard_fish,8,4096,8,512,128,0,0,0.08298492431640625,11312348160
hard_fish,8,4096,8,512,256,0,0,0.08892083168029785,11753938432
hard_fish,8,4096,8,512,512,0,0,0.10469365119934082,12779408384
hard_fish,8,4096,8,512,1024,0,0,0.13673019409179688,15435225600
hard_fish,8,4096,8,512,2048,0,0,0.3758203983306885,23196098560
